日付,商品名,カテゴリ,売上金額,販売数量,店舗名
2024-01-01,ノートPC,電子機器,150000,2,東京店
2024-01-01,マウス,アクセサリ,3000,5,東京店
2024-01-01,キーボード,アクセサリ,8000,3,東京店
2024-01-02,モニター,電子機器,45000,1,大阪店
2024-01-02,USBケーブル,アクセサリ,1500,10,大阪店
2024-01-03,ノートPC,電子機器,150000,1,東京店
2024-01-03,ヘッドホン,アクセサリ,12000,2,名古屋店
2024-01-04,タブレット,電子機器,80000,2,東京店
2024-01-04,マウスパッド,アクセサリ,1000,8,大阪店
2024-01-05,ノートPC,電子機器,150000,1,名古屋店
2024-01-05,外付けHDD,ストレージ,15000,3,東京店
2024-01-06,SSD,ストレージ,20000,2,大阪店
2024-01-06,Webカメラ,アクセサリ,8000,4,東京店
2024-01-07,モニター,電子機器,45000,2,名古屋店
2024-01-07,キーボード,アクセサリ,8000,5,大阪店
2024-01-08,ノートPC,電子機器,150000,3,東京店
2024-01-08,マウス,アクセサリ,3000,12,名古屋店
2024-01-09,タブレット,電子機器,80000,1,大阪店
2024-01-09,USBハブ,アクセサリ,5000,6,東京店
2024-01-10,外付けHDD,ストレージ,15000,4,名古屋店
